# Tools and options the live driver deliberately does not exercise.
#
# KEY is a tool name or "tool.option". A waiver that waives something
# covered, or something no longer on the surface, fails — residue reads
# exactly like a decision.
#
# Columns, tab-separated: KEY\tREASON
favro_list_card_activities.request_id	Pagination needs a cursor from the response before it, and the driver makes one call per step. Covering it would mean a step that depends on another step's result, which is a different shape of driver.
favro_set_card_custom_field.add_member_user_ids	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.add_tag_ids	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.checkbox	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.color	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.date	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.force_refresh	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.link_text	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.link_url	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.multi_select_item_ids	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.number	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.rating_value	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.remove_member_user_ids	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.remove_tag_ids	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.single_select_item_id	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.status_item_id	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.text	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.time_report_description	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.time_report_ms	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.timeline_due_date	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.timeline_show_time	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.timeline_start_date	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
favro_set_card_custom_field.vote	One of the per-type value inputs. The tool takes exactly one, chosen by the custom field's own type, and the driver picks a field from whatever the organization has — so it cannot know which of these is the legal one. The refusal that names them all is exercised instead, live, by the step that passes none.
